WARNING:root:DQN trained on MountainCar-v0
WARNING:root:{'LEARN_FREQ': 3, 'MEMORY_SIZE': 20000, 'MEMORY_WARMUP_SIZE': 300, 'BATCH_SIZE': 64, 'LEARNING_RATE': 0.001, 'GAMMA': 0.99, 'E_GREEDY': 0.1, 'E_GREEDY_DECREMENT': 1e-06, 'max_episode': 1000}
WARNING:root:train episode 1 : reward -200.0, steps 200
WARNING:root:evaluate 5 episodes : e_greedy 0.0993999999999994, reward -200.0
WARNING:root:train episode 2 : reward -200.0, steps 200
WARNING:root:train episode 3 : reward -200.0, steps 200
WARNING:root:train episode 4 : reward -200.0, steps 200
WARNING:root:train episode 5 : reward -200.0, steps 200
WARNING:root:train episode 6 : reward -200.0, steps 200
WARNING:root:train episode 7 : reward -200.0, steps 200
WARNING:root:train episode 8 : reward -200.0, steps 200
WARNING:root:train episode 9 : reward -200.0, steps 200
WARNING:root:train episode 10 : reward -200.0, steps 200
WARNING:root:train episode 11 : reward -200.0, steps 200
WARNING:root:train episode 12 : reward -200.0, steps 200
WARNING:root:train episode 13 : reward -200.0, steps 200
WARNING:root:train episode 14 : reward -161.0, steps 161
WARNING:root:train episode 15 : reward -200.0, steps 200
WARNING:root:train episode 16 : reward -189.0, steps 189
WARNING:root:train episode 17 : reward -200.0, steps 200
WARNING:root:train episode 18 : reward -200.0, steps 200
WARNING:root:train episode 19 : reward -200.0, steps 200
WARNING:root:train episode 20 : reward -200.0, steps 200
WARNING:root:train episode 21 : reward -200.0, steps 200
WARNING:root:train episode 22 : reward -200.0, steps 200
WARNING:root:train episode 23 : reward -175.0, steps 175
WARNING:root:train episode 24 : reward -200.0, steps 200
WARNING:root:train episode 25 : reward -200.0, steps 200
WARNING:root:train episode 26 : reward -188.0, steps 188
WARNING:root:train episode 27 : reward -200.0, steps 200
WARNING:root:train episode 28 : reward -200.0, steps 200
WARNING:root:train episode 29 : reward -200.0, steps 200
WARNING:root:train episode 30 : reward -200.0, steps 200
WARNING:root:train episode 31 : reward -200.0, steps 200
WARNING:root:train episode 32 : reward -200.0, steps 200
WARNING:root:train episode 33 : reward -194.0, steps 194
WARNING:root:train episode 34 : reward -200.0, steps 200
WARNING:root:train episode 35 : reward -200.0, steps 200
WARNING:root:train episode 36 : reward -200.0, steps 200
WARNING:root:train episode 37 : reward -200.0, steps 200
WARNING:root:train episode 38 : reward -127.0, steps 127
WARNING:root:train episode 39 : reward -200.0, steps 200
WARNING:root:train episode 40 : reward -141.0, steps 141
WARNING:root:train episode 41 : reward -200.0, steps 200
WARNING:root:train episode 42 : reward -200.0, steps 200
WARNING:root:train episode 43 : reward -184.0, steps 184
WARNING:root:train episode 44 : reward -200.0, steps 200
WARNING:root:train episode 45 : reward -200.0, steps 200
WARNING:root:train episode 46 : reward -200.0, steps 200
WARNING:root:train episode 47 : reward -200.0, steps 200
WARNING:root:train episode 48 : reward -200.0, steps 200
WARNING:root:train episode 49 : reward -198.0, steps 198
WARNING:root:train episode 50 : reward -200.0, steps 200
WARNING:root:train episode 51 : reward -200.0, steps 200
WARNING:root:evaluate 5 episodes : e_greedy 0.08964299999998965, reward -200.0
WARNING:root:train episode 52 : reward -144.0, steps 144
WARNING:root:train episode 53 : reward -165.0, steps 165
WARNING:root:train episode 54 : reward -200.0, steps 200
WARNING:root:train episode 55 : reward -200.0, steps 200
WARNING:root:train episode 56 : reward -200.0, steps 200
WARNING:root:train episode 57 : reward -142.0, steps 142
WARNING:root:train episode 58 : reward -200.0, steps 200
WARNING:root:train episode 59 : reward -200.0, steps 200
WARNING:root:train episode 60 : reward -146.0, steps 146
WARNING:root:train episode 61 : reward -200.0, steps 200
WARNING:root:train episode 62 : reward -195.0, steps 195
WARNING:root:train episode 63 : reward -200.0, steps 200
WARNING:root:train episode 64 : reward -200.0, steps 200
WARNING:root:train episode 65 : reward -200.0, steps 200
WARNING:root:train episode 66 : reward -200.0, steps 200
WARNING:root:train episode 67 : reward -200.0, steps 200
WARNING:root:train episode 68 : reward -200.0, steps 200
WARNING:root:train episode 69 : reward -200.0, steps 200
WARNING:root:train episode 70 : reward -200.0, steps 200
WARNING:root:train episode 71 : reward -134.0, steps 134
WARNING:root:train episode 72 : reward -200.0, steps 200
WARNING:root:train episode 73 : reward -200.0, steps 200
WARNING:root:train episode 74 : reward -200.0, steps 200
WARNING:root:train episode 75 : reward -200.0, steps 200
