WARNING:root:DQN trained on Pong-v0
WARNING:root:{'LEARNING_RATE': 0.001}
WARNING:root:Episode 0, Reward Sum -21.0.
WARNING:root:Episode 10, Reward Sum -21.0.
WARNING:root:Episode 20, Reward Sum -20.0.
WARNING:root:Episode 30, Reward Sum -20.0.
WARNING:root:Episode 40, Reward Sum -20.0.
WARNING:root:Episode 50, Reward Sum -19.0.
WARNING:root:Episode 60, Reward Sum -20.0.
WARNING:root:Episode 70, Reward Sum -19.0.
WARNING:root:Episode 80, Reward Sum -21.0.
WARNING:root:Episode 90, Reward Sum -21.0.
WARNING:root:evaluating on 5 episodes with mean reward -21.0.
WARNING:root:Episode 100, Reward Sum -20.0.
WARNING:root:Episode 110, Reward Sum -21.0.
WARNING:root:Episode 120, Reward Sum -20.0.
WARNING:root:Episode 130, Reward Sum -21.0.
WARNING:root:Episode 140, Reward Sum -20.0.
WARNING:root:Episode 150, Reward Sum -20.0.
WARNING:root:Episode 160, Reward Sum -21.0.
WARNING:root:Episode 170, Reward Sum -20.0.
WARNING:root:Episode 180, Reward Sum -21.0.
WARNING:root:Episode 190, Reward Sum -20.0.
WARNING:root:evaluating on 5 episodes with mean reward -20.8.
WARNING:root:Episode 200, Reward Sum -21.0.
WARNING:root:Episode 210, Reward Sum -20.0.
WARNING:root:Episode 220, Reward Sum -21.0.
WARNING:root:Episode 230, Reward Sum -21.0.
WARNING:root:Episode 240, Reward Sum -20.0.
WARNING:root:Episode 250, Reward Sum -21.0.
WARNING:root:Episode 260, Reward Sum -20.0.
WARNING:root:Episode 270, Reward Sum -20.0.
WARNING:root:Episode 280, Reward Sum -21.0.
WARNING:root:Episode 290, Reward Sum -19.0.
WARNING:root:evaluating on 5 episodes with mean reward -20.2.
WARNING:root:Episode 300, Reward Sum -20.0.
WARNING:root:Episode 310, Reward Sum -21.0.
WARNING:root:Episode 320, Reward Sum -20.0.
WARNING:root:Episode 330, Reward Sum -20.0.
WARNING:root:Episode 340, Reward Sum -20.0.
WARNING:root:Episode 350, Reward Sum -19.0.
WARNING:root:Episode 360, Reward Sum -21.0.
WARNING:root:Episode 370, Reward Sum -19.0.
WARNING:root:Episode 380, Reward Sum -20.0.
WARNING:root:Episode 390, Reward Sum -20.0.
WARNING:root:evaluating on 5 episodes with mean reward -19.6.
WARNING:root:Episode 400, Reward Sum -21.0.
WARNING:root:Episode 410, Reward Sum -19.0.
WARNING:root:Episode 420, Reward Sum -21.0.
WARNING:root:Episode 430, Reward Sum -20.0.
WARNING:root:Episode 440, Reward Sum -19.0.
WARNING:root:Episode 450, Reward Sum -19.0.
WARNING:root:Episode 460, Reward Sum -19.0.
WARNING:root:Episode 470, Reward Sum -20.0.
WARNING:root:Episode 480, Reward Sum -16.0.
WARNING:root:Episode 490, Reward Sum -18.0.
WARNING:root:evaluating on 5 episodes with mean reward -18.8.
WARNING:root:Episode 500, Reward Sum -18.0.
WARNING:root:Episode 510, Reward Sum -18.0.
WARNING:root:Episode 520, Reward Sum -19.0.
WARNING:root:Episode 530, Reward Sum -19.0.
WARNING:root:Episode 540, Reward Sum -18.0.
WARNING:root:Episode 550, Reward Sum -18.0.
WARNING:root:Episode 560, Reward Sum -18.0.
WARNING:root:Episode 570, Reward Sum -19.0.
WARNING:root:Episode 580, Reward Sum -20.0.
WARNING:root:Episode 590, Reward Sum -14.0.
WARNING:root:evaluating on 5 episodes with mean reward -21.0.
WARNING:root:Episode 600, Reward Sum -18.0.
WARNING:root:Episode 610, Reward Sum -18.0.
